production_line,material_type,shift,temp_sensor_1,temp_sensor_2,pressure_sensor,humidity,vibration_sensor,processing_time_sec,power_consumption_kw,operator_experience_yr,yield_pct
Line-A,Type-Z,주간,219.93,218.79,1.713,36.4,0.172,136.8,272.5,6,88.21
Line-C,Type-X,주간,187.99,191.94,1.857,51.8,0.104,119.1,246.9,7,90.41
Line-C,Type-Z,주간,189.53,194.48,2.035,36.2,0.19,97.7,214.9,6,86.31
Line-B,Type-X,주간,190.87,187.58,1.919,42.9,0.32,121.1,239.7,1,91.36
Line-B,Type-Y,야간,200.98,196.11,1.463,32.7,0.644,124.9,262.5,1,87.67
Line-B,Type-X,주간,202.32,197.97,1.034,42.7,0.19,116.8,261.7,15,92.14
Line-B,Type-X,주간,219.01,227.02,1.089,59.7,0.567,139.2,285.2,9,92.84
Line-C,Type-Y,야간,170.53,172.16,0.982,45.0,0.245,120.6,260.6,4,86.22
Line-A,Type-Y,주간,177.88,172.68,0.959,,0.266,96.4,203.3,7,91.82
Line-C,Type-Z,주간,216.69,210.58,0.99,35.2,0.104,109.3,230.1,8,88.99
Line-A,Type-X,야간,193.65,192.39,1.023,45.8,0.66,102.0,210.0,9,92.79
Line-A,Type-Y,주간,189.68,194.47,1.538,70.9,0.099,90.6,188.3,2,87.57
Line-C,Type-Y,야간,191.73,198.05,1.065,60.4,0.696,106.5,214.8,12,86.34
Line-B,Type-Y,주간,185.1,182.3,1.612,51.3,0.046,96.5,196.2,12,90.23
Line-B,Type-X,야간,205.61,213.42,1.862,20.0,0.792,124.6,236.9,1,86.91
Line-C,Type-Y,주간,183.71,184.03,2.039,45.6,0.105,70.0,154.1,12,86.53
Line-B,Type-Y,주간,213.08,218.37,1.589,42.0,1.218,130.6,274.8,5,87.63
Line-A,Type-X,주간,196.77,194.81,1.526,57.3,0.2,108.7,227.8,14,91.57
Line-A,Type-Y,야간,210.36,212.56,1.682,55.5,0.16,118.0,250.5,4,85.28
Line-C,Type-Z,주간,180.26,186.08,1.162,77.1,0.657,126.5,257.2,2,87.06
Line-B,Type-Z,야간,191.27,194.35,1.648,55.5,0.26,113.8,227.1,7,88.56
Line-C,Type-Z,야간,198.28,197.79,1.235,41.6,0.347,120.3,250.5,2,85.47
Line-A,Type-Y,주간,205.97,204.24,1.449,58.2,0.411,108.3,221.2,10,93.22
Line-A,Type-X,주간,219.46,225.52,1.086,48.4,0.296,132.4,253.5,11,93.75
Line-B,Type-X,야간,200.57,207.57,1.067,59.0,0.055,104.6,218.1,15,91.97
Line-B,Type-Z,주간,191.22,198.08,1.278,68.1,0.124,119.0,263.4,3,86.87
Line-C,Type-Z,주간,196.67,,1.589,,0.128,86.8,190.5,10,87.39
Line-C,Type-Z,주간,202.22,201.87,1.559,58.0,0.063,123.7,244.9,4,87.67
Line-A,Type-X,주간,160.0,154.28,1.601,59.2,0.004,116.5,249.7,11,94.33
Line-B,Type-Y,주간,221.6,215.44,1.143,42.9,0.263,122.9,265.9,4,90.68
Line-C,Type-X,야간,199.46,196.2,1.584,52.0,0.081,111.0,238.7,15,88.29
Line-C,Type-Y,야간,174.17,175.19,1.43,54.1,0.075,159.2,342.1,12,89.96
Line-A,Type-X,주간,214.88,200.38,1.233,41.5,0.132,168.1,357.1,9,95.78
Line-A,Type-Z,주간,203.51,201.45,1.218,45.3,0.001,148.8,322.0,15,89.52
Line-A,Type-X,주간,214.65,215.78,1.6,49.6,0.202,124.1,252.1,7,89.8
Line-A,Type-Z,주간,193.28,198.81,1.818,44.6,0.019,100.6,216.3,14,90.7
Line-C,Type-X,야간,194.85,202.08,1.769,60.3,0.804,80.1,183.5,9,84.62
Line-A,Type-Y,야간,201.76,195.59,1.57,52.3,1.089,123.6,251.5,3,89.7
Line-B,Type-X,주간,215.65,217.72,1.722,42.2,0.939,101.8,212.7,6,88.31
Line-B,Type-X,주간,219.27,228.93,1.534,65.3,0.161,153.1,300.1,6,90.21
Line-C,Type-Z,주간,174.26,172.0,1.3,48.5,0.082,109.8,241.0,1,86.07
Line-A,Type-X,주간,200.74,195.55,2.06,41.0,0.158,74.2,165.5,10,93.08
Line-A,Type-X,야간,226.58,230.23,0.911,54.2,0.594,138.1,298.4,12,90.06
Line-A,Type-X,주간,208.89,206.9,1.876,72.6,0.205,136.8,299.5,5,89.9
Line-B,Type-X,주간,190.21,188.77,1.445,38.5,1.063,120.9,246.1,2,88.52
Line-A,Type-Z,주간,171.37,179.42,2.01,60.2,0.029,133.2,288.1,6,90.27
Line-B,Type-Y,주간,200.51,198.36,0.994,55.0,0.152,102.4,212.9,1,88.19
Line-B,Type-Y,주간,192.04,196.82,1.753,49.7,0.002,111.9,231.0,12,92.34
Line-A,Type-Y,주간,208.76,213.3,1.588,49.0,0.399,127.9,274.8,2,86.39
Line-C,Type-X,야간,205.98,205.03,2.32,61.1,0.336,129.8,275.5,14,87.18
Line-A,Type-X,야간,196.57,196.55,1.636,59.4,0.086,119.0,255.8,11,93.65
Line-A,Type-Z,야간,218.65,218.12,1.962,39.3,0.351,79.0,162.4,14,88.49
Line-A,Type-Y,야간,207.86,205.92,1.833,39.7,0.138,70.0,155.4,5,86.2
Line-A,Type-Y,주간,216.56,222.53,1.046,39.3,2.0,70.0,161.5,7,85.82
Line-C,Type-X,야간,190.11,189.9,1.465,50.3,0.309,102.9,196.6,15,87.08
Line-B,Type-Y,야간,213.19,217.9,1.402,53.3,0.03,139.7,302.2,11,89.69
Line-A,Type-Y,주간,188.54,,1.525,35.1,0.94,119.8,246.9,3,88.21
Line-A,Type-Z,야간,212.41,206.04,2.072,52.9,0.368,80.9,189.5,8,87.18
Line-B,Type-Z,주간,204.25,198.71,1.75,48.2,0.506,148.3,323.6,2,88.24
Line-C,Type-Y,주간,200.46,203.23,1.578,50.1,1.377,125.2,245.4,1,83.99
Line-C,Type-Y,주간,191.52,188.56,1.229,69.3,0.161,107.6,227.1,2,86.01
Line-A,Type-Y,주간,192.38,197.69,1.288,41.3,0.045,134.6,278.2,12,93.41
Line-C,Type-X,야간,202.74,203.92,1.427,62.5,0.019,85.0,185.9,9,86.27
Line-A,Type-Y,주간,184.59,186.45,1.359,41.3,0.559,147.6,316.2,3,91.36
Line-C,Type-Y,야간,211.07,208.4,1.91,43.9,0.159,125.4,264.8,13,84.1
Line-B,Type-Y,주간,183.76,,1.735,42.1,0.156,98.3,192.8,12,91.71
Line-A,Type-X,주간,228.94,231.8,1.966,20.5,0.263,119.1,248.3,14,92.24
Line-A,Type-X,주간,216.74,212.38,1.709,56.9,0.495,140.6,278.1,6,90.16
Line-B,Type-Z,주간,207.55,212.31,1.314,37.0,0.01,117.4,229.7,9,88.38
Line-A,Type-X,야간,194.47,190.82,1.581,62.6,0.482,115.6,236.1,3,85.07
Line-B,Type-Y,야간,203.97,200.61,1.321,60.2,1.667,116.4,249.0,6,85.16
Line-B,Type-X,야간,200.46,199.75,1.661,45.0,0.016,82.1,171.1,6,89.06
Line-C,Type-X,야간,206.99,207.13,1.682,38.4,0.137,128.7,270.5,11,86.89
Line-A,Type-Y,야간,203.06,199.87,1.843,46.9,0.309,151.2,340.2,6,88.12
Line-B,Type-Y,주간,194.97,203.21,1.225,60.3,0.221,137.7,291.8,5,89.79
Line-A,Type-X,주간,212.39,210.01,1.719,51.0,0.131,127.4,256.6,7,91.99
Line-A,Type-X,야간,192.67,194.16,1.758,53.4,0.561,101.9,226.0,7,88.17
Line-B,Type-Z,주간,290.0,216.29,1.846,63.9,0.066,118.6,260.5,8,85.56
Line-A,Type-Y,주간,195.02,189.13,4.5,43.6,0.07,123.5,258.7,4,85.11
Line-A,Type-X,야간,211.95,206.23,1.676,62.2,0.184,106.9,211.9,7,88.8
Line-A,Type-X,야간,197.91,198.36,1.336,70.1,0.261,134.9,267.5,15,92.2
Line-A,Type-Z,주간,219.15,223.18,1.625,47.3,0.573,129.7,294.0,8,87.37
Line-B,Type-Z,야간,196.42,206.74,1.018,43.4,0.245,89.4,191.5,15,87.55
Line-A,Type-Z,주간,195.32,187.69,1.899,51.3,0.473,109.7,234.5,15,90.32
Line-A,Type-X,주간,198.63,198.73,1.419,48.2,0.061,147.1,309.1,5,94.6
Line-A,Type-Y,야간,201.23,204.7,1.588,46.5,0.021,143.2,309.2,5,89.19
Line-B,Type-Z,야간,182.98,178.97,1.702,47.2,0.372,107.7,233.1,3,86.25
Line-C,Type-Z,야간,195.79,198.63,1.525,39.1,0.842,107.8,222.5,3,84.4
Line-A,Type-Y,야간,203.45,199.73,1.289,32.7,0.029,100.8,206.5,10,91.17
Line-C,Type-Z,주간,209.08,206.9,1.577,,0.055,92.5,191.4,4,84.62
Line-C,Type-Z,주간,196.57,196.37,1.318,56.7,0.156,102.6,228.4,15,89.3
Line-C,Type-Z,주간,190.43,194.86,1.493,39.6,0.257,129.0,278.7,11,87.74
Line-B,Type-Z,주간,213.05,212.68,1.726,54.2,0.021,130.8,279.3,1,88.23
Line-C,Type-Y,주간,201.09,206.91,1.54,33.3,0.237,112.6,234.9,3,88.56
Line-A,Type-Y,야간,194.87,188.3,1.015,56.6,0.085,171.2,361.9,11,90.86
Line-C,Type-X,주간,171.16,,1.691,26.9,0.2,120.4,226.7,8,91.07
Line-A,Type-Z,주간,175.36,186.06,4.0,51.7,0.668,177.1,381.6,8,87.25
Line-A,Type-Y,주간,201.9,202.56,1.362,67.6,0.722,95.9,200.8,8,87.98
Line-C,Type-X,야간,203.47,207.5,1.869,53.3,0.082,109.4,215.1,7,86.7
Line-A,Type-Y,주간,191.55,191.61,1.485,61.1,0.101,105.7,226.9,14,91.5
Line-B,Type-Y,주간,198.81,206.47,1.887,48.4,0.392,97.4,213.0,7,89.95
Line-B,Type-Y,주간,290.0,186.04,1.48,51.9,0.436,129.4,264.0,8,85.06
Line-A,Type-Y,주간,204.4,208.57,1.504,38.9,1.106,70.0,161.0,6,85.69
Line-A,Type-X,야간,290.0,167.89,2.308,39.5,0.888,137.8,265.9,2,82.59
Line-C,Type-X,야간,190.75,189.98,1.358,51.2,0.056,148.4,324.7,4,88.02
Line-A,Type-Y,주간,185.72,183.39,1.92,67.4,0.599,86.6,180.0,12,91.66
Line-C,Type-Y,주간,209.52,205.61,1.172,48.5,0.281,107.8,216.2,8,85.52
Line-C,Type-X,주간,205.04,205.02,2.158,53.5,0.508,106.1,228.4,6,87.76
Line-C,Type-X,야간,221.84,221.78,1.144,55.8,0.979,114.0,248.5,7,86.22
Line-B,Type-X,주간,193.94,,1.451,51.1,0.101,131.4,264.3,12,95.83
Line-A,Type-X,야간,206.86,208.31,1.583,40.1,0.647,148.5,312.5,1,88.82
Line-A,Type-X,주간,208.12,216.88,1.502,41.5,1.002,104.4,219.2,7,91.03
Line-C,Type-X,주간,220.23,224.15,1.594,50.0,0.058,132.6,273.3,14,91.88
Line-A,Type-Z,주간,188.93,186.75,2.087,69.7,0.178,137.8,277.6,3,88.85
Line-C,Type-X,야간,191.45,186.34,1.569,36.6,0.142,115.8,237.4,9,88.33
Line-B,Type-Z,주간,203.18,207.42,1.402,51.0,0.042,141.2,287.2,6,90.53
Line-A,Type-X,야간,180.06,180.7,1.436,48.9,0.7,129.2,282.6,3,89.88
Line-B,Type-Y,주간,207.36,195.93,1.364,52.9,0.554,107.5,218.3,7,90.58
Line-B,Type-Z,주간,198.84,197.78,1.592,68.2,0.061,117.6,253.5,5,87.12
Line-B,Type-Z,야간,206.47,207.07,1.91,50.8,0.09,104.3,206.5,7,86.8
Line-B,Type-Z,주간,194.32,200.01,1.952,55.7,0.208,125.3,253.0,13,88.69
Line-C,Type-Z,주간,216.17,218.76,1.799,44.8,0.159,127.9,254.6,9,86.41
Line-B,Type-Y,주간,193.5,196.22,1.975,41.0,0.049,136.5,276.1,5,90.44
